Sample_ID,Abs_250nm_per_unitDOC,Abs_254nm_per_unitDOC,Abs_280nm__per_unitDOC,Abs_350nm_per_unitDOC,Abs_365nm_per_unitDOC,Abs_412nm_per_unitDOC,Abs_440nm_per_unitDOC,C_RSU_per_unitDOC,A_RSU_per_unitDOC,T_RSU_per_unitDOC,B_RSU_per_unitDOC,M_RSU_per_unitDOC,FDOM_RSU_per_unitDOC
COMP 26,0.057667,0.056398,0.056398,0.017171,0.013986,0.0067538,0.0046573,0.16807,0.26268,0.1017,0.11362,0.14591,0.11616
COMP 27,0.046659,0.045621,0.045621,0.013015,0.010465,0.0050507,0.0034868,0.15625,0.24421,0.08503,0.078219,0.13496,0.1073
COMP 28,0.060335,0.05902,0.05902,0.018084,0.014762,0.0070552,0.0048396,0.16702,0.26428,0.10548,0.12734,0.14381,0.11609
COMP 29,0.049989,0.048845,0.048845,0.014243,0.011475,0.0055132,0.0038094,0.16419,0.25652,0.089826,0.084875,0.142,0.11384
COMP 30,0.041139,0.040159,0.040159,0.01113,0.0088296,0.0041893,0.0028623,0.15207,0.23595,0.075561,0.068076,0.13337,0.10424
COMP 31,0.051833,0.050597,0.050597,0.015334,0.012418,0.0058948,0.0040093,0.16883,0.262,0.091783,0.097311,0.14626,0.11606
COMP 32,0.046494,0.045348,0.045348,0.013377,0.01073,0.0049616,0.0033284,0.16819,0.26361,0.077922,0.073329,0.1449,0.11807
COMP 33,0.046049,0.044915,0.044915,0.013208,0.01059,0.0049565,0.0033536,0.17449,0.26959,0.077893,0.071695,0.15069,0.12092
COMP 34,0.048174,0.04699,0.04699,0.013919,0.011188,0.0052158,0.0035234,0.16533,0.25701,0.094263,0.08399,0.1441,0.11402
COMP 35,0.045605,0.04447,0.04447,0.012834,0.010208,0.0046521,0.0031042,0.17339,0.26995,0.087942,0.075745,0.14832,0.1201
COMP 36,0.050622,0.049372,0.049372,0.015226,0.012699,0.0065532,0.0045721,0.24743,0.38373,0.18466,0.21928,0.23444,0.16566
COMP 37,0.027021,0.026187,0.026187,0.0073089,0.0058994,0.0028866,0.0020158,0.23239,0.35326,0.1167,0.098083,0.21903,0.15353
COMP 38,0.078418,0.076618,0.076618,0.024746,0.020932,0.011044,0.0077549,0.23506,0.37166,0.25714,0.42595,0.22542,0.15563
COMP 40,0.072217,0.070534,0.070534,0.022812,0.019317,0.010242,0.0072007,0.25414,0.39036,0.24708,0.38228,0.24219,0.16572
COMP 41,0.082307,0.08055,0.08055,0.028048,0.023592,0.010829,0.007195,0.14252,0.22451,0.10632,0.30246,0.12328,0.095803
COMP 42,0.079306,0.077587,0.077587,0.026675,0.022403,0.010185,0.0067389,0.15371,0.23306,0.11114,0.27733,0.14022,0.097613
COMP 43,0.073499,0.071876,0.071876,0.024286,0.020282,0.0091633,0.006044,0.14361,0.22602,0.099231,0.2337,0.12657,0.098233
COMP 44,0.056487,0.055178,0.055178,0.017331,0.014272,0.0065357,0.0043535,0.15035,0.23561,0.090638,0.13878,0.13231,0.10305
COMP 45,0.068651,0.067135,0.067135,0.022449,0.01876,0.0087277,0.0058872,0.14677,0.22789,0.086962,0.20774,0.128,0.098452
COMP 46,0.046696,0.045506,0.045506,0.013518,0.010931,0.0050943,0.0034443,0.18693,0.3067,0.076649,0.08332,0.16385,0.13161
COMP 47,0.062588,0.061087,0.061087,0.019093,0.015669,0.0074402,0.0050279,0.20827,0.34171,0.10116,0.15482,0.18024,0.14653
COMP 48,0.064674,0.0631,0.0631,0.019572,0.016013,0.007558,0.0050942,0.21302,0.35312,0.097411,0.1469,0.18663,0.1501
COMP 49,0.053218,0.05189,0.05189,0.01579,0.012816,0.0059828,0.0040318,0.19186,0.31541,0.082118,0.10501,0.16574,0.13566
COMP 50,0.050088,0.048807,0.048807,0.014585,0.011774,0.0055207,0.0037672,0.19977,0.32742,0.080447,0.082632,0.17241,0.14111
blank0392,0.01377,0.012744,0.012744,0.0016041,0.0015706,0.001242,0.0011784,0.0097237,0.088483,0.18037,0.22653,0.036638,0.0027587
blank0393,0.015457,0.014692,0.014692,0.0017697,0.0016613,0.0012207,0.0011195,0.021573,0.10966,0.20614,0.25338,0.058292,0.0051335
blank0419,0.0098056,0.0090372,0.0090372,0.0010563,0.00085015,0.00078069,0.00090461,0.0093791,0.07182,0.16663,0.18473,0.033173,0.0039809
blank0420,0.0089053,0.0082822,0.0082822,0.00091933,0.00074127,0.00075759,0.00091535,0.010825,0.080364,0.16997,0.19602,0.036203,0.0030361
postTea04Oct,0.15604,0.16148,0.16148,0.04816,0.037889,0.012691,0.010168,0.16255,0.16639,0.72176,0.67123,0.23312,0.035065
postTea05Oct,0.15291,0.15839,0.15839,0.046953,0.037,0.012196,0.0094969,0.17078,0.18883,0.71207,0.68808,0.23706,0.038021
postTea06Oct,0.1551,0.16058,0.16058,0.048081,0.03792,0.012904,0.010287,0.16033,0.1692,0.7013,0.69719,0.23827,0.033362
postTea11Oct,0.15525,0.16069,0.16069,0.048093,0.037991,0.012804,0.010087,0.16616,0.17597,0.73662,0.70364,0.24102,0.036157
preTea04Oct22,0.15586,0.16132,0.16132,0.048108,0.037933,0.012602,0.0097904,0.16111,0.16679,0.71451,0.72218,0.24451,0.034955
preTea05Oct22,0.15357,0.15896,0.15896,0.047329,0.037338,0.012453,0.0097447,0.16144,0.17183,0.68872,0.66876,0.22844,0.037636
preTea06Oct22,0.15527,0.16076,0.16076,0.048057,0.037934,0.012735,0.0099862,0.16405,0.1917,0.71443,0.72461,0.24258,0.034347
preTea11Oct22,0.15614,0.16152,0.16152,0.048334,0.038235,0.012931,0.010108,0.16132,0.17595,0.7135,0.69971,0.2417,0.038805
