Sample_ID,Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU
COMP 23,0.59483,0.58263,0.58263,0.17978,0.15184,0.090233,0.071635,1.2243,2.0783,0.85279,3.9098,1.0412,0.84452
COMP 25,1.9039,1.8653,1.8653,0.54852,0.46265,0.26906,0.21108,1.9187,3.4302,2.2286,13.2102,1.6424,1.3469
COMP 26,0.64011,0.62602,0.62602,0.1906,0.15525,0.074967,0.051696,1.8656,2.9158,1.1288,1.2612,1.6196,1.2894
COMP 27,0.56831,0.55566,0.55566,0.15852,0.12747,0.061518,0.042469,1.9032,2.9744,1.0357,0.95271,1.6438,1.3069
COMP 28,0.65342,0.63919,0.63919,0.19585,0.15987,0.076408,0.052413,1.8089,2.8621,1.1424,1.3791,1.5575,1.2573
COMP 29,0.53788,0.52558,0.52558,0.15325,0.12347,0.059322,0.040989,1.7666,2.7602,0.96653,0.91326,1.5279,1.2249
COMP 30,0.49942,0.48753,0.48753,0.13512,0.10719,0.050858,0.034748,1.8462,2.8645,0.91731,0.82645,1.6191,1.2655
COMP 31,0.40175,0.39218,0.39218,0.11885,0.096253,0.045691,0.031076,1.3086,2.0308,0.71141,0.75425,1.1337,0.89956
COMP 32,0.35405,0.34532,0.34532,0.10186,0.081707,0.037782,0.025346,1.2807,2.0074,0.59338,0.5584,1.1034,0.89912
COMP 33,0.35163,0.34297,0.34297,0.10086,0.080867,0.037848,0.025608,1.3324,2.0586,0.59479,0.54746,1.1506,0.92332
COMP 34,0.37691,0.36765,0.36765,0.1089,0.087535,0.040808,0.027567,1.2936,2.0108,0.73751,0.65714,1.1275,0.89209
COMP 35,0.35736,0.34847,0.34847,0.10057,0.079989,0.036454,0.024324,1.3587,2.1153,0.68911,0.59354,1.1622,0.94106
COMP 36,0.16533,0.16125,0.16125,0.04973,0.041476,0.021403,0.014932,0.8081,1.2533,0.60309,0.71617,0.76568,0.54105
COMP 37,0.078387,0.075968,0.075968,0.021203,0.017114,0.0083741,0.0058478,0.67416,1.0248,0.33855,0.28454,0.6354,0.4454
COMP 38,0.262,0.25598,0.25598,0.082678,0.069935,0.036897,0.025909,0.78533,1.2417,0.85912,1.4231,0.75312,0.51996
COMP 40,0.20928,0.20441,0.20441,0.06611,0.055981,0.02968,0.020868,0.73649,1.1313,0.71603,1.1078,0.70186,0.48026
COMP 41,0.7034,0.68838,0.68838,0.2397,0.20162,0.092544,0.061489,1.218,1.9187,0.9086,2.5848,1.0536,0.81874
COMP 42,0.71169,0.69626,0.69626,0.23938,0.20104,0.091403,0.060475,1.3794,2.0915,0.99741,2.4887,1.2583,0.87597
COMP 43,0.63179,0.61785,0.61785,0.20876,0.17434,0.078768,0.051954,1.2345,1.9429,0.85299,2.0089,1.088,0.84441
COMP 44,0.45766,0.44706,0.44706,0.14041,0.11563,0.052952,0.035272,1.2181,1.9089,0.73435,1.1244,1.072,0.83494
COMP 45,0.59712,0.58394,0.58394,0.19526,0.16318,0.075914,0.051207,1.2766,1.9822,0.75639,1.8069,1.1134,0.85634
COMP 46,0.22447,0.21875,0.21875,0.064983,0.052544,0.024488,0.016557,0.89858,1.4743,0.36845,0.40052,0.78763,0.63265
COMP 47,0.28271,0.27593,0.27593,0.086243,0.070778,0.033608,0.022711,0.94075,1.5435,0.45695,0.69932,0.81412,0.66186
COMP 48,0.28366,0.27675,0.27675,0.085842,0.070232,0.033149,0.022343,0.93429,1.5488,0.42724,0.64432,0.81855,0.65836
COMP 49,0.27072,0.26397,0.26397,0.080323,0.065195,0.030434,0.02051,0.97601,1.6045,0.41774,0.53416,0.8431,0.69011
COMP 50,0.24353,0.2373,0.2373,0.07091,0.057246,0.026842,0.018316,0.9713,1.5919,0.39114,0.40176,0.83828,0.68606
blank0392,0.0068753,0.0063632,0.0063632,0.00080091,0.00078422,0.00062012,0.00058835,0.004855,0.04418,0.090056,0.11311,0.018293,0.0013774
blank0393,0.0067098,0.0063776,0.0063776,0.00076822,0.00072119,0.00052988,0.00048596,0.0093647,0.047601,0.089486,0.10999,0.025305,0.0022285
blank0419,0.004896,0.0045123,0.0045123,0.0005274,0.00042448,0.0003898,0.00045167,0.004683,0.03586,0.083201,0.092237,0.016563,0.0019877
blank0420,0.0044464,0.0041353,0.0041353,0.00045902,0.00037012,0.00037826,0.00045703,0.0054049,0.040126,0.084864,0.097872,0.018076,0.0015159
postTea04Oct,0.15604,0.16148,0.16148,0.04816,0.037889,0.012691,0.010168,0.16255,0.16639,0.72176,0.67123,0.23312,0.035065
postTea05Oct,0.15291,0.15839,0.15839,0.046953,0.037,0.012196,0.0094969,0.17078,0.18883,0.71207,0.68808,0.23706,0.038021
postTea06Oct,0.1551,0.16058,0.16058,0.048081,0.03792,0.012904,0.010287,0.16033,0.1692,0.7013,0.69719,0.23827,0.033362
postTea11Oct,0.15525,0.16069,0.16069,0.048093,0.037991,0.012804,0.010087,0.16616,0.17597,0.73662,0.70364,0.24102,0.036157
preTea04Oct22,0.15586,0.16132,0.16132,0.048108,0.037933,0.012602,0.0097904,0.16111,0.16679,0.71451,0.72218,0.24451,0.034955
preTea05Oct22,0.15357,0.15896,0.15896,0.047329,0.037338,0.012453,0.0097447,0.16144,0.17183,0.68872,0.66876,0.22844,0.037636
preTea06Oct22,0.15527,0.16076,0.16076,0.048057,0.037934,0.012735,0.0099862,0.16405,0.1917,0.71443,0.72461,0.24258,0.034347
preTea11Oct22,0.15614,0.16152,0.16152,0.048334,0.038235,0.012931,0.010108,0.16132,0.17595,0.7135,0.69971,0.2417,0.038805
